Disease,Symptoms,Recommendations
Heart disease,"Chest pain, shortness of breath, fatigue, dizziness, lightheadedness, palpitations, swelling (edema), nausea, sweating, jaw pain, arm pain, irregular heartbeat, rapid heartbeat, slow heartbeat, fainting, difficulty breathing, fluid buildup.","Healthy diet, regular exercise, quit smoking, limit alcohol intake, manage stress, maintain healthy weight, control blood pressure, monitor cholesterol levels, manage diabetes, get enough sleep, stay hydrated, avoid processed foods, eat more fruits and vegetables, reduce salt intake, take prescribed medications, regular health checkups, practice relaxation techniques, stay physically active, avoid trans fats."
Fever,"High body temperature, chills, sweating, headache, muscle aches, fatigue, dehydration, loss of appetite, weakness, irritability, shivering, flushed skin, rapid heartbeat, dizziness.","Stay hydrated, rest well, take fever-reducing medication (if needed), wear light clothing, use a cool compress, drink warm fluids, avoid caffeine and alcohol, eat light and nutritious meals, monitor temperature regularly, seek medical attention if fever persists or worsens."
Common Cold,"Runny nose, sneezing, sore throat, cough, mild fever","Natural Solutions:
✅ Take rest
✅ Drink honey with ginger
✅ Steam inhalation
✅ Consume warm soups
✅ Gargle with salt water

Medical Treatment:
💊 Antihistamines (e.g., Loratadine)
💊 Nasal decongestants (e.g., Oxymetazoline)
💊 Paracetamol for fever
💊 Cough suppressants (e.g., Dextromethorphan)
💊 Zinc supplements"
Influenza (Flu),"High fever, body aches, fatigue, chills, cough","Natural Solutions:
✅ Stay hydrated
✅ Drink herbal teas (e.g., chamomile, ginger)
✅ Increase vitamin C intake
✅ Use a humidifier
✅ Rest properly

Medical Treatment:
💊 Antiviral medications (e.g., Oseltamivir)
💊 Fever reducers (e.g., Ibuprofen)
💊 Cough syrups
💊 Decongestants
💊 Pain relievers"
Diabetes (Type 2),"Frequent urination, excessive thirst, fatigue, slow wound healing","Natural Solutions:
✅ Maintain a healthy diet (low sugar, high fiber)
✅ Exercise regularly
✅ Drink bitter gourd juice
✅ Control stress through meditation
✅ Maintain healthy sleep patterns

Medical Treatment:
💊 Metformin
💊 Insulin therapy
💊 SGLT2 inhibitors (e.g., Canagliflozin)
💊 GLP-1 receptor agonists
💊 Regular blood sugar monitoring"
Hypertension (High Blood Pressure),"Headache, dizziness, blurred vision, chest pain","Natural Solutions:
✅ Reduce salt intake
✅ Practice deep breathing exercises
✅ Eat potassium-rich foods (e.g., bananas)
✅ Exercise regularly
✅ Reduce caffeine intake

Medical Treatment:
💊 ACE inhibitors (e.g., Lisinopril)
💊 Beta-blockers (e.g., Metoprolol)
💊 Diuretics (e.g., Hydrochlorothiazide)
💊 Calcium channel blockers
💊 Regular BP monitoring"
Migraine," Severe headache, nausea, sensitivity to light and sound","Natural Solutions:
✅ Avoid bright lights and loud noise
✅ Use peppermint oil for massage
✅ Maintain hydration
✅ Practice relaxation techniques (e.g., yoga)
✅ Improve sleep routine

Medical Treatment:
💊 Pain relievers (e.g., Ibuprofen)
💊 Triptans (e.g., Sumatriptan)
💊 Anti-nausea medications
💊 Beta-blockers for prevention
💊 Antidepressants in chronic cases"
Arthritis,"Symptoms: Joint pain, stiffness, swelling, reduced mobility","Natural Solutions:
✅ Maintain a healthy weight
✅ Do low-impact exercises (e.g., swimming)
✅ Use turmeric in diet
✅ Apply warm compresses
✅ Consume omega-3-rich foods

Medical Treatment:
💊 Painkillers (e.g., Acetaminophen)
💊 NSAIDs (e.g., Ibuprofen)
💊 Corticosteroid injections
💊 Disease-modifying anti-rheumatic drugs (DMARDs)
💊 Physical therapy"
Pneumonia,"Chest pain, difficulty breathing, fever, cough with phlegm","Natural Solutions:
✅ Drink warm fluids
✅ Inhale steam
✅ Use eucalyptus oil for relief
✅ Maintain hygiene
✅ Rest well

Medical Treatment:
💊 Antibiotics (if bacterial)
💊 Cough suppressants
💊 Fever reducers
💊 Oxygen therapy in severe cases
💊 Hospitalization in critical cases"
Sinusitis,"Facial pain, nasal congestion, headache, postnasal drip","Natural Solutions:
✅ Steam inhalation
✅ Use a saline nasal spray
✅ Stay hydrated
✅ Apply warm compresses
✅ Avoid allergens

Medical Treatment:
💊 Nasal decongestants
💊 Antihistamines
💊 Antibiotics (if bacterial)
💊 Corticosteroid nasal sprays
💊 Pain relievers"
